역량명,과정명,난이도,난이도(별표),방식,소요시간,제공기관,Level,과정내용
알고리즘/코딩 적용 능력,Python 기반 SQL 프로그래밍,2,★★,e-learning,16,한국기술교육대학,사외,1 DBMS와 데이터 모델링 3단계의 이해 2 개발환경 세팅 및 Jupyter Notebook 기초 실습 3 SQLite3 라이브러리를 활용한 SQL 명령문 실행 4 Pandas를 활용한 SQL 명령문 실행 5 CREATE 명령어를 활용한 DB 테이블의 생성 6 DDL 명령어의 이해 및 실습 7 SQL SELECT 명령어의 이해 및 실습 8 SQL INSERT, UPDATE, DELETE 명령어 실습 9 SQL SELECT 세부 명령어 실습 1 10 SQL SELECT 세부 명령어 실습 2 11 SQL INNER JOIN 실습 12 SQL LEFT JOIN 실습 13 SQL GROUP BY 실습 1 14 SQL GROUP BY 실습 2 15 SQL SubQuery 활용 실습 16 데이터셋 기반 DB 구축 & DB 활용 실습
알고리즘/코딩 적용 능력,프로젝트 성공을 위한 SQL,2,★★,e-learning,4,한국기술교육대학,사외,2 문자 데이터 조회하기 
알고리즘/코딩 적용 능력,웹 크롤링,3,★★★,e-learning,24,한국기술교육대학,사외,2 웹 스크레이핑의 개념 
알고리즘/코딩 적용 능력,데이터베이스 초보 탈출,2,★★,e-learning,4,한국기술교육대학,사외,2 SQL 언어의 이해와 쿼리(Query)의 사용 
알고리즘/코딩 적용 능력,[AX] R 프로그래밍 자율 학습 컨텐츠,1,★,LETO,50,LGD,초급,R 프로그래밍 자율 학습 컨텐츠
알고리즘/코딩 적용 능력,R 비즈니스 분석 기초,1,★,e-learning,15,한국기술교육대학,초급,2 R 기본 사용 방법 
알고리즘/코딩 적용 능력,AI Deep Learning 기본,3,★★★,Virtual Class,24,LGD,중급,1. RNN 구조/LSTM/GAN 이해/GAN 구조/Advanced GAN/2. CNN 의 개념/CNN 구조 및 적용/Pooling layer/Applications
알고리즘/코딩 적용 능력,딥러닝 심화 - CNN,3,★★★,e-learning,9,한국기술교육대학,사외,1 CNN과 컴퓨터 비전 2 합성곱 연산의 이해 3 CNN의 기본 구조 4 대표적인 CNN 구조(LeNet-5, AlexNet, ZF-Net) 5 대표적인 CNN 구조(VGG, GoogLeNet, ResNet) 6 CNN의 구현 환경 7 Keras를 이용한 CNN 실습 8 Bottleneck 구조와 Compact Networks 9 다양한 Residual Block의 탐색
알고리즘/코딩 적용 능력,딥러닝 심화 - 컴퓨터 비전,4,★★★★,e-learning,7,한국기술교육대학,사외,1 Localization 2 객체 검출 기본 3 슬라이딩 윈도우 방식 객체 검출 4 Proposal 기반 객체 검출 5 1단 구조 객체 검출 6 Feature Pyramid 기반 객체 검출 7 Tensorflow2를 이용한 객체 검출 실습
알고리즘/코딩 적용 능력,CNN 기반 이미지 라벨링 실습(기본),3,★★★,e-learning,8,한국기술교육대학,중급,1 딥러닝 기초 및 Back Propagation 2 딥러닝 개발 환경 구축 3 딥러닝 프로그램을 위한 Python 기초 4 TensorFlow 예제를 통한 CNN 살펴보기 5 이미지 라벨링을 위한 데이터 전처리 6 AlexNet을 활용한 이미지 라벨링 7 ResNet을 활용한 이미지 라벨링 8 MobileNet을 활용한 이미지 라벨링
알고리즘/코딩 적용 능력,CNN 기반 이미지 라벨링 실습(심화),4,★★★★,e-learning,8,한국기술교육대학,사외,1 CNN 기반 Object Detection 개요 2 Faster R-CNN을 활용한 Object Detection 및 실습 3 YOLO를 활용한 Object Detection 및 실습 4 SSD를 활용한 Object Detection 및 실습 5 CNN 기반 Semantic Segmentation 6 FCN/Deconvolutional Network를 활용한 Semantic Segmentation 및 실습 7 Dilated Convolution을 활용한 Semantic Segmentation 및 실습 8 Deeplab을 활용한 Semantic Segmentation 및 실습
알고리즘/코딩 적용 능력,RNN을 활용한 자연어 처리 초급(스마트 번역기 만들기),2,★★,e-learning,7,한국기술교육대학,사외,1 RNN 기반 자연어 처리 소개 2 자연어 처리 코딩 기초 3 스마트 번역기 소개 4 스마트 번역기 데이터 처리 5 스마트 번역기 RNN 구현 6 스마트 번역기 학습 및 평가 7 스마트 번역기 최적화
알고리즘/코딩 적용 능력,RNN을 활용한 자연어 처리 고급(음성 인식하기),4,★★★★,e-learning,8,한국기술교육대학,사외,1 RNN 기반 자연어 처리 소개 2 자연어 처리 코딩 기초 3 AI 음성 인식기 소개 4 음성 데이터 다운 샘플링 5 음성 데이터 사분할 및 저장 6 음성 인식기 RNN 구현 7 음성 인식기 RNN 학습 및 평가 8 음성 인식기 최적화
알고리즘/코딩 적용 능력,RNN을 활용한 자연어 처리 중급(BBC 기사 분류하기),3,★★★,e-learning,7,한국기술교육대학,사외,1 RNN 기반 자연어 처리 소개 2 자연어 처리 코딩 기초 3 AI 문서 분류기 소개 4 기사 데이터 제외어 처리 5 기사 데이터 토큰 처리 6 RNN 구현, 학습 및 평가 7 기사 분류기 최적화
알고리즘/코딩 적용 능력,강화 학습 기초 - 기본 원리 및 이론,3,★★★,e-learning,10,한국기술교육대학,사외,1 강화 학습의 기본 2 강화 학습의 절차 및 분류 3 강화 학습 실습 환경 소개 4 마르코프 결정 과정, 보상 이득 5 정책과 가치 함수 6 최적 정책과 최적 가치 함수 7 최적 가치 및 최적 정책 산출 실험 8 동적 프로그래밍 기반 정책 평가 및 정책 개선 9 동적 프로그래밍 기반 정책 반복 및 가치 반복 10 정책 반복과 가치 반복 알고리즘 구현 및 실험
알고리즘/코딩 적용 능력,강화 학습 응용 - 학습 유형별 알고리즘 및 응용,4,★★★★,e-learning,12,한국기술교육대학,사외,1 몬테카를로 예측의 기본 2 몬테카를로 제어의 기본 3 몬테카를로 학습 에이전트 개발 4 시간차 예측 및 측정 5 시간차 예측을 통한 가치 추정 6 SARSA와 Q-Learning 7 시간차 학습 에이전트 개발 8 모델 기반 학습 9 모델 기반 학습 에이전트 개발 10 다양한 강화 학습 기법 11 Tic-Tac-Toe 강화 학습 환경 구축 12 Tic-Tac-Toe 강화 학습 게임 에이전트 개발 및 훈련
알고리즘/코딩 적용 능력,시각딥러닝을 이용한 영상처리,3,★★★,e-learning,18,한국기술교육대학,사외,2 영상처리 기초 
알고리즘/코딩 적용 능력,[AX] AI 딥러닝 자율 학습 컨텐츠,3,★★★,LETO,50,LGD,중급,AI 딥러닝 자율 학습 컨텐츠
알고리즘/코딩 적용 능력,[AX] 머신러닝/딥러닝 사례 실습 프로그램 사전학습,3,★★★,LETO,50,LGD,중급,머신러닝/딥러닝 사례 실습 프로그램 사전학습
알고리즘/코딩 적용 능력,(AI 연구원) LG AI 박사 과정,5,★★★★★,Off-line,1440,AI연구원,전문가,1. 연구 세미나 1과목 완료 (세미나 최소 15회 이상)/2. 평가: 종합시험/프로젝트/인터뷰 중 택 1 (지도교수 : AI 연구원 연구위원&자문교수)
알고리즘/코딩 적용 능력,(AI 연구원) LG AI 석사 과정,5,★★★★★,Off-line,1440,AI연구원,전문가,1. 전공필수+전공심화+연구 세미나 각 1과목 완료 (세미나 최소 5회 이상)/2. 평가: 종합시험/프로젝트/인터뷰 중 택 1 (지도교수: AI 연구원 박사학위 보유 리더)
알고리즘/코딩 적용 능력,(AI 연구원) AI Expert Course,5,★★★★★,Off-line,288,AI연구원,고급,1. AI Project 문제정의 및 AI모델 개발 및 평가/2. 현업 조직내 적용 및 활용방안 도출 (현업 AI 과제 1:1 멘토링 방식)
AI 협업/의사소통 역량,AX Level 1 과정 (문제해결방법론),1,★,e-learning,16,LGD,초급,1. 문제해결기초 2. 6시그마 기초
AI 협업/의사소통 역량,"AX Level 2 과정 (AI 활용) ""엔지니어""",3,★★★,Off-line,32,LGD,중급,1. 업무자동화 2. DIDOV 방법론 3. 데이터 전처리와 시각화 4. 머신러닝 5. Case Study
AI 협업/의사소통 역량,"AX Level 2 과정 (AI 활용) ""비엔지니어""",3,★★★,Off-line,32,LGD,중급,1. 업무자동화 2. DIDOV 방법론 3. 데이터 전처리와 시각화 4. 머신러닝 5. Case Study
AI 협업/의사소통 역량,AX Level 3 과정 (문제해결 심화),4,★★★★,Off-line,16,LGD,고급,1. 실험계획법  2. 6σ Case Study
AI 전략적 사고 및 윤리 인식,임원/담당 LGD AX Literacy 강화,2,★★,Off-line,8,인화원,사외,"AX 이해, AI 기본 원리 이해, AX 추진사례 이해"
AI 전략적 사고 및 윤리 인식,AX Camp,2,★★,Off-line,10,인화원,사외,"LG AX 추진방향, 생성형 AI 실습, AX 기반 사업성과 창출을 위한 리더의 역할"
AI 전략적 사고 및 윤리 인식,AX 생태계와 전략적 의사결정,3,★★★,Off-line,8,인화원,중급,"AI 전/후방 산업 생태계와 사업기회 논의, AI Agent 활용 전략적 의사결정 실습, AI 활용 조직생산성 향상 방안"
